Data Type/Direction:                       GLASS PROCESSED DATA, FileFormat 1/Ascending                                           
File Format/Version:                       EOL Sounding Format/1.0                                                                
Project Name/Platform:                     SoWMEX/TiMREX/NCAR GLASS                                                               
Launch Site:                               46692                                                                                  
Launch Location (lon,lat,alt):             121 26.04'E 121.434000, 25 00.00'N 25.000000,    11.00                                 
UTC Launch Time (y,m,d,h,m,s):             2008, 05, 21, 12:00:00                                                                 
Sonde Id/Sonde Type:                       970870/Meisei RS2-80                                                                   
Reference Launch Data Source/Time:         /unknown                                                                               
System Operator/Comments:                  /                                                                                      
Post Processing Comments:                  Aspen Version: humidity corrected with CDF day bias table and daytime heating corr:  0.000
/                                                                                                                                 
 Time   -- UTC  --   Press    Temp   Dewpt    RH     Uwind   Vwind   Wspd     Dir     dZ    GeoPoAlt     Lon         Lat      GPSA
  sec   hh mm   ss     mb      C       C       %      m/s     m/s     m/s     deg     m/s       m        deg         deg         m
------- -- -- ----- ------- ------- ------- ------- ------- ------- ------- ------- ------- -------- ----------- ----------- -----
 2377.0 12 39 37.00  128.53  -72.33  -84.02   32.75 -999.00 -999.00 -999.00 -999.00    5.16 15093.38 -999.000000 -999.000000  -999.00
 2382.0 12 39 42.00  127.96  -72.42  -84.10   32.75 -999.00 -999.00 -999.00 -999.00    5.41 15119.77 -999.000000 -999.000000  -999.00
 2386.0 12 39 46.00  127.47  -72.48  -84.16   32.75 -999.00 -999.00 -999.00 -999.00    5.51 15142.30 -999.000000 -999.000000  -999.00
 2390.0 12 39 50.00  126.98  -72.53  -84.20   32.75   35.34   -6.75   35.98  280.81    5.43 15164.83  121.761749   25.047625  -999.00
 2395.0 12 39 55.00  126.41  -72.62  -84.28   32.76   31.40   -7.78   32.35  283.91    5.30 15191.36  121.763405   25.047297  -999.00
 2399.0 12 39 59.00  125.97  -72.69  -84.35   32.77 -999.00 -999.00 -999.00 -999.00    5.22 15211.85 -999.000000 -999.000000  -999.00
 2403.0 12 40  3.00  125.52  -72.74  -84.40   32.76 -999.00 -999.00 -999.00 -999.00    5.25 15232.43 -999.000000 -999.000000  -999.00
 2408.0 12 40  8.00  124.95  -72.77  -84.44   32.64 -999.00 -999.00 -999.00 -999.00    5.34 15259.14 -999.000000 -999.000000  -999.00
 2412.0 12 40 12.00  124.49  -72.78  -84.48   32.51 -999.00 -999.00 -999.00 -999.00    5.36 15280.96 -999.000000 -999.000000  -999.00
 2417.0 12 40 17.00  123.92  -72.77  -84.48   32.42    5.81  -17.19   18.14  341.33    5.35 15307.74  121.767464   25.044817  -999.00
 2421.0 12 40 21.00  123.48  -72.72  -84.43   32.47    4.19  -17.61   18.10  346.63    5.32 15328.83  121.767654   25.044189  -999.00
 2425.0 12 40 25.00  123.04  -72.59  -84.28   32.63    4.44  -17.53   18.08  345.79    5.31 15349.91  121.767830   25.043554  -999.00
 2430.0 12 40 30.00  122.48  -72.35  -84.04   32.75    7.51  -16.94   18.52  336.10    5.29 15376.68  121.768127   25.042776  -999.00
 2434.0 12 40 34.00  122.03  -72.16  -83.86   32.77   11.43  -16.26   19.87  324.90    5.18 15398.02  121.768501   25.042177  -999.00
 2438.0 12 40 38.00  121.61  -72.04  -83.75   32.76   15.66  -15.57   22.09  314.83    5.08 15418.53  121.769035   25.041603  -999.00
 2443.0 12 40 43.00  121.10  -71.98  -83.70   32.75   20.14  -14.89   25.05  306.48    5.05 15443.30  121.769920   25.040915  -999.00
 2447.0 12 40 47.00  120.69  -71.95  -83.67   32.75   22.56  -14.52   26.83  302.76    5.09 15463.17  121.770767   25.040384  -999.00
 2452.0 12 40 52.00  120.15  -71.93  -83.65   32.75 -999.00 -999.00 -999.00 -999.00    5.18 15489.36 -999.000000 -999.000000  -999.00
 2456.0 12 40 56.00  119.72  -71.91  -83.63   32.77 -999.00 -999.00 -999.00 -999.00    5.16 15510.83 -999.000000 -999.000000  -999.00
 2460.0 12 41  0.00  119.31  -71.89  -83.61   32.79 -999.00 -999.00 -999.00 -999.00    5.13 15531.06 -999.000000 -999.000000  -999.00
 2465.0 12 41  5.00  118.80  -71.82  -83.55   32.77 -999.00 -999.00 -999.00 -999.00    5.29 15555.96 -999.000000 -999.000000  -999.00
 2469.0 12 41  9.00  118.37  -71.72  -83.47   32.68 -999.00 -999.00 -999.00 -999.00    5.44 15577.52 -999.000000 -999.000000  -999.00
 2473.0 12 41 13.00  117.91  -71.63  -83.43   32.46 -999.00 -999.00 -999.00 -999.00    5.55 15600.22 -999.000000 -999.000000  -999.00
 2478.0 12 41 18.00  117.35  -71.55  -83.36   32.42 -999.00 -999.00 -999.00 -999.00    5.45 15628.68 -999.000000 -999.000000  -999.00
 2482.0 12 41 22.00  116.93  -71.53  -83.39   32.19    5.09  -13.86   14.76  339.84    5.26 15649.83  121.775566   25.035900  -999.00
 2487.0 12 41 27.00  116.43  -71.54  -83.41   32.10    2.56  -13.62   13.86  349.37    5.20 15674.88  121.775757   25.035280  -999.00
 2491.0 12 41 31.00  116.02  -71.57  -83.44   32.10 -999.00 -999.00 -999.00 -999.00    5.25 15695.64 -999.000000 -999.000000  -999.00
 2495.0 12 41 35.00  115.60  -71.64  -83.50   32.11 -999.00 -999.00 -999.00 -999.00    5.36 15717.19 -999.000000 -999.000000  -999.00
 2500.0 12 41 40.00  115.06  -71.78  -83.63   32.13 -999.00 -999.00 -999.00 -999.00    5.41 15744.59 -999.000000 -999.000000  -999.00
 2504.0 12 41 44.00  114.64  -71.91  -83.75   32.13 -999.00 -999.00 -999.00 -999.00    5.39 15766.16 -999.000000 -999.000000  -999.00
 2508.0 12 41 48.00  114.23  -72.06  -83.88   32.13 -999.00 -999.00 -999.00 -999.00    5.37 15787.34 -999.000000 -999.000000  -999.00
 2513.0 12 41 53.00  113.72  -72.27  -84.08   32.13 -999.00 -999.00 -999.00 -999.00    5.35 15814.06 -999.000000 -999.000000  -999.00
 2517.0 12 41 57.00  113.30  -72.44  -84.23   32.13 -999.00 -999.00 -999.00 -999.00    5.30 15835.72 -999.000000 -999.000000  -999.00
 2521.0 12 42  1.00  112.88  -72.60  -84.38   32.13    3.04   -9.33    9.81  341.94    5.22 15857.31  121.776695   25.031759  -999.00
 2526.0 12 42  6.00  112.39  -72.78  -84.54   32.13    5.69   -8.48   10.21  326.13    5.15 15883.00  121.776917   25.031357  -999.00
 2530.0 12 42 10.00  112.01  -72.92  -84.67   32.13    7.15   -7.96   10.70  318.07    5.27 15902.69  121.777168   25.031061  -999.00
 2535.0 12 42 15.00  111.50  -73.12  -84.86   32.13 -999.00 -999.00 -999.00 -999.00    5.60 15929.53 -999.000000 -999.000000  -999.00
 2539.0 12 42 19.00  111.05  -73.30  -85.02   32.13 -999.00 -999.00 -999.00 -999.00    5.81 15953.06 -999.000000 -999.000000  -999.00
 2543.0 12 42 23.00  110.60  -73.50  -85.21   32.13 -999.00 -999.00 -999.00 -999.00    5.86 15977.06 -999.000000 -999.000000  -999.00
 2548.0 12 42 28.00  110.05  -73.76  -85.44   32.13    4.17   -8.28    9.27  333.25    5.59 16006.15  121.778175   25.029741  -999.00
 2552.0 12 42 32.00  109.64  -73.95  -85.62   32.13    2.90   -8.97    9.43  342.07    5.27 16027.86  121.778320   25.029430  -999.00
 2556.0 12 42 36.00  109.26  -74.08  -85.74   32.13    2.49   -9.86   10.17  345.85    4.95 16048.10  121.778427   25.029091  -999.00
 2561.0 12 42 41.00  108.81  -74.12  -85.77   32.13    3.18  -11.03   11.48  343.93    4.78 16071.94  121.778564   25.028620  -999.00
 2565.0 12 42 45.00  108.46  -74.08  -85.74   32.13    4.37  -11.75   12.53  339.57    4.85 16090.83  121.778717   25.028208  -999.00
 2570.0 12 42 50.00  108.00  -73.98  -85.65   32.13    6.16  -12.07   13.54  332.97    5.22 16115.78  121.778976   25.027670  -999.00
 2574.0 12 42 54.00  107.59  -73.88  -85.55   32.13    7.08  -11.85   13.81  329.16    5.63 16137.65  121.779236   25.027239  -999.00
 2578.0 12 42 58.00  107.16  -73.78  -85.46   32.13 -999.00 -999.00 -999.00 -999.00    6.12 16160.98 -999.000000 -999.000000  -999.00
 2583.0 12 43  3.00  106.59  -73.69  -85.38   32.13 -999.00 -999.00 -999.00 -999.00    6.71 16192.43 -999.000000 -999.000000  -999.00
 2587.0 12 43  7.00  106.07  -73.67  -85.36   32.13 -999.00 -999.00 -999.00 -999.00    7.06 16220.62 -999.000000 -999.000000  -999.00
 2591.0 12 43 11.00  105.54  -73.69  -85.38   32.13   -3.58   -8.06    8.82   23.91    7.07 16250.19  121.779533   25.025709  -999.00
 2596.0 12 43 16.00  104.91  -73.77  -85.45   32.13   -7.94   -6.77   10.43   49.56    6.78 16284.90  121.779251   25.025375  -999.00
 2600.0 12 43 20.00  104.45  -73.87  -85.55   32.13 -999.00 -999.00 -999.00 -999.00    6.42 16310.71 -999.000000 -999.000000  -999.00
 2605.0 12 43 25.00  103.90  -74.06  -85.72   32.13 -999.00 -999.00 -999.00 -999.00    6.02 16341.69 -999.000000 -999.000000  -999.00
 2609.0 12 43 29.00  103.47  -74.25  -85.89   32.13 -999.00 -999.00 -999.00 -999.00    5.82 16365.45 -999.000000 -999.000000  -999.00
 2613.0 12 43 33.00  103.07  -74.45  -86.08   32.13 -999.00 -999.00 -999.00 -999.00    5.76 16388.41 -999.000000 -999.000000  -999.00
 2618.0 12 43 38.00  102.57  -74.71  -86.32   32.13 -999.00 -999.00 -999.00 -999.00    5.93 16416.61 -999.000000 -999.000000  -999.00
 2622.0 12 43 42.00  102.14  -74.91  -86.50   32.13 -999.00 -999.00 -999.00 -999.00    6.24 16440.56 -999.000000 -999.000000  -999.00
 2626.0 12 43 46.00  101.68  -75.09  -86.66   32.13 -999.00 -999.00 -999.00 -999.00    6.42 16467.03 -999.000000 -999.000000  -999.00
 2631.0 12 43 51.00  101.10  -75.31  -86.87   32.13 -999.00 -999.00 -999.00 -999.00    6.30 16500.06 -999.000000 -999.000000  -999.00
 2635.0 12 43 55.00  100.68  -75.46  -87.00   32.13   -1.06   -1.48    1.82   35.76    6.07 16524.28  121.777512   25.023924  -999.00
 2639.0 12 43 59.00  100.28  -75.59  -87.12   32.13    3.72   -1.30    3.93  289.23    5.82 16547.37  121.777557   25.023874  -999.00
 2644.0 12 44  4.00   99.79  -75.74  -83.21   34.00    7.99   -1.31    8.10  279.29    5.62 16575.69  121.777847   25.023815  -999.00
 2648.0 12 44  8.00   99.40  -75.88  -83.34   34.00    9.38   -1.50    9.50  279.10    5.48 16598.21  121.778198   25.023764  -999.00
 2652.0 12 44 12.00   99.02  -76.04  -83.48   34.00    9.19   -1.76    9.35  280.87    5.28 16620.15  121.778564   25.023706  -999.00
 2657.0 12 44 17.00   98.58  -76.25  -83.68   34.00    7.13   -2.02    7.41  285.84    5.02 16645.98  121.778969   25.023621  -999.00
 2661.0 12 44 21.00   98.25  -76.41  -83.82   34.00 -999.00 -999.00 -999.00 -999.00    4.86 16665.47 -999.000000 -999.000000  -999.00
 2666.0 12 44 26.00   97.84  -76.60  -84.00   34.00    1.48   -2.39    2.81  328.23    4.86 16689.26  121.779350   25.023441  -999.00
 2670.0 12 44 30.00   97.51  -76.76  -84.16   34.00   -0.16   -2.73    2.74    3.28    5.01 16708.97  121.779381   25.023348  -999.00
 2674.0 12 44 34.00   97.16  -76.94  -84.32   34.00 -999.00 -999.00 -999.00 -999.00    5.25 16729.51 -999.000000 -999.000000  -999.00
 2679.0 12 44 39.00   96.71  -77.14  -84.50   34.00 -999.00 -999.00 -999.00 -999.00    5.60 16756.23 -999.000000 -999.000000  -999.00
 2683.0 12 44 43.00   96.32  -77.28  -84.63   34.00 -999.00 -999.00 -999.00 -999.00    5.88 16779.22 -999.000000 -999.000000  -999.00
 2687.0 12 44 47.00   95.91  -77.39  -84.73   34.00 -999.00 -999.00 -999.00 -999.00    5.98 16803.70 -999.000000 -999.000000  -999.00
 2692.0 12 44 52.00   95.41  -77.46  -84.80   34.00    4.40   -6.73    8.04  326.87    5.86 16833.91  121.779839   25.022408  -999.00
 2696.0 12 44 56.00   95.03  -77.47  -84.81   34.00    6.82   -7.48   10.12  317.61    5.66 16856.77  121.780060   25.022152  -999.00
 2701.0 12 45  1.00   94.58  -77.44  -84.79   34.00   10.05   -8.31   13.04  309.57    5.48 16883.99  121.780479   25.021795  -999.00
 2705.0 12 45  5.00   94.22  -77.38  -84.73   34.00   12.36   -8.93   15.25  305.84    5.50 16905.47  121.780922   25.021484  -999.00
 2709.0 12 45  9.00   93.86  -77.29  -84.64   34.00   14.08   -9.54   17.01  304.11    5.57 16927.44  121.781448   25.021151  -999.00
 2714.0 12 45 14.00   93.39  -77.19  -84.55   34.00 -999.00 -999.00 -999.00 -999.00    5.65 16956.11 -999.000000 -999.000000  -999.00
 2718.0 12 45 18.00   93.02  -77.15  -84.51   34.00 -999.00 -999.00 -999.00 -999.00    5.61 16979.33 -999.000000 -999.000000  -999.00
 2722.0 12 45 22.00   92.66  -77.14  -84.50   34.00 -999.00 -999.00 -999.00 -999.00    5.56 17001.18 -999.000000 -999.000000  -999.00
 2727.0 12 45 27.00   92.23  -77.14  -84.50   34.00 -999.00 -999.00 -999.00 -999.00    5.68 17028.08 -999.000000 -999.000000  -999.00
 2731.0 12 45 31.00   91.85  -77.12  -84.49   34.00 -999.00 -999.00 -999.00 -999.00    5.78 17051.49 -999.000000 -999.000000  -999.00
 2735.0 12 45 35.00   91.47  -77.11  -84.48   34.00    4.17  -11.93   12.64  340.74    5.80 17075.45  121.783798   25.018631  -999.00
 2740.0 12 45 40.00   91.01  -77.11  -84.47   34.00   -0.28  -12.27   12.27    1.29    5.71 17104.21  121.783897   25.018084  -999.00
 2744.0 12 45 44.00   90.66  -77.10  -84.47   34.00 -999.00 -999.00 -999.00 -999.00    5.56 17126.51 -999.000000 -999.000000  -999.00
 2748.0 12 45 48.00   90.31  -77.08  -84.44   34.00 -999.00 -999.00 -999.00 -999.00    5.44 17148.48 -999.000000 -999.000000  -999.00
 2753.0 12 45 53.00   89.89  -77.00  -84.38   34.00 -999.00 -999.00 -999.00 -999.00    5.35 17175.64 -999.000000 -999.000000  -999.00
 2757.0 12 45 57.00   89.55  -76.95  -84.33   34.00 -999.00 -999.00 -999.00 -999.00    5.33 17197.00 -999.000000 -999.000000  -999.00
 2762.0 12 46  2.00   89.14  -76.96  -84.34   34.00 -999.00 -999.00 -999.00 -999.00    5.52 17223.41 -999.000000 -999.000000  -999.00
 2766.0 12 46  6.00   88.80  -77.01  -84.38   34.00   -0.81   -9.15    9.18    5.04    5.84 17245.69  121.783752   25.015572  -999.00
 2770.0 12 46 10.00   88.43  -77.08  -84.45   34.00    0.10   -8.62    8.62  359.34    6.14 17269.75  121.783745   25.015251  -999.00
 2775.0 12 46 15.00   87.93  -77.18  -84.54   34.00    0.75   -8.31    8.35  354.83    6.37 17301.90  121.783760   25.014868  -999.00
 2779.0 12 46 19.00   87.54  -77.25  -84.60   34.00 -999.00 -999.00 -999.00 -999.00    6.29 17327.77 -999.000000 -999.000000  -999.00
 2783.0 12 46 23.00   87.17  -77.26  -84.61   34.00    0.83   -8.36    8.40  354.35    6.09 17352.14  121.783829   25.014265  -999.00
 2788.0 12 46 28.00   86.72  -77.17  -84.53   34.00    0.54   -8.55    8.57  356.39    5.75 17381.58  121.783859   25.013885  -999.00
 2792.0 12 46 32.00   86.37  -77.03  -84.41   34.00    0.51   -8.72    8.73  356.65    5.42 17404.78  121.783882   25.013573  -999.00
 2796.0 12 46 36.00   86.05  -76.87  -84.26   34.00    0.97   -8.86    8.91  353.76    5.11 17425.81  121.783913   25.013254  -999.00
 2801.0 12 46 41.00   85.70  -76.69  -84.08   34.00    2.21   -8.87    9.14  346.04    5.07 17449.62  121.783989   25.012856  -999.00
 2805.0 12 46 45.00   85.40  -76.57  -83.97   34.00    3.23   -8.59    9.17  339.41    5.24 17469.91  121.784096   25.012541  -999.00
 2809.0 12 46 49.00   85.07  -76.46  -83.88   34.00    3.81   -7.88    8.75  334.21    5.45 17491.89  121.784233   25.012241  -999.00
 2814.0 12 46 54.00   84.65  -76.30  -83.72   34.00    3.64   -6.43    7.39  330.50    5.54 17520.48  121.784416   25.011919  -999.00
 2818.0 12 46 58.00   84.32  -76.09  -83.53   34.00 -999.00 -999.00 -999.00 -999.00    5.43 17542.67 -999.000000 -999.000000  -999.00
 2823.0 12 47  3.00   83.94  -75.75  -83.22   34.00    1.35   -3.28    3.54  337.62    5.43 17568.91  121.784645   25.011524  -999.00
 2827.0 12 47  7.00   83.63  -75.47  -82.95   34.00   -0.09   -1.96    1.96    2.69    5.55 17590.17  121.784668   25.011431  -999.00
 2831.0 12 47 11.00   83.31  -75.22  -82.73   34.00 -999.00 -999.00 -999.00 -999.00    5.75 17612.67 -999.000000 -999.000000  -999.00
 2836.0 12 47 16.00   82.88  -75.03  -82.55   34.00   -2.37    0.78    2.50  108.12    5.84 17642.94  121.784554   25.011381  -999.00
 2840.0 12 47 20.00   82.54  -74.96  -82.48   34.00   -2.58    1.88    3.19  126.01    5.69 17666.73  121.784454   25.011431  -999.00
 2844.0 12 47 24.00   82.23  -74.94  -82.47   34.00   -2.38    2.87    3.73  140.39    5.61 17688.59  121.784363   25.011517  -999.00
 2849.0 12 47 29.00   81.84  -74.99  -82.52   34.00 -999.00 -999.00 -999.00 -999.00    5.71 17715.58 -999.000000 -999.000000  -999.00
 2853.0 12 47 33.00   81.52  -75.08  -82.60   34.00   -0.66    4.53    4.58  171.75    5.95 17738.65  121.784225   25.011818  -999.00
 2857.0 12 47 37.00   81.17  -75.19  -82.70   34.00    0.88    4.83    4.91  190.30    6.16 17763.74  121.784225   25.011986  -999.00
 2862.0 12 47 42.00   80.72  -75.34  -82.84   34.00    3.66    4.68    5.94  217.99    6.05 17795.62  121.784340   25.012199  -999.00
 2866.0 12 47 46.00   80.40  -75.48  -82.96   34.00 -999.00 -999.00 -999.00 -999.00    5.86 17819.02 -999.000000 -999.000000  -999.00
 2870.0 12 47 50.00   80.09  -75.62  -83.10   34.00 -999.00 -999.00 -999.00 -999.00    5.68 17841.34 -999.000000 -999.000000  -999.00
 2875.0 12 47 55.00   79.70  -75.78  -83.25   34.00 -999.00 -999.00 -999.00 -999.00    5.57 17869.27 -999.000000 -999.000000  -999.00
 2879.0 12 47 59.00   79.39  -75.87  -83.33   34.00   10.92    2.52   11.20  257.02    5.54 17891.78  121.785568   25.012753  -999.00
 2884.0 12 48  4.00   79.01  -75.91  -83.37   34.00    9.85    2.19   10.09  257.46    5.45 17919.70  121.786079   25.012859  -999.00
 2888.0 12 48  8.00   78.71  -75.91  -83.36   34.00 -999.00 -999.00 -999.00 -999.00    5.43 17941.40 -999.000000 -999.000000  -999.00
 2892.0 12 48 12.00   78.42  -75.88  -83.34   34.00 -999.00 -999.00 -999.00 -999.00    5.51 17962.87 -999.000000 -999.000000  -999.00
 2897.0 12 48 17.00   78.05  -75.82  -83.28   34.00    1.46    1.60    2.17  222.49    5.81 17990.45  121.786812   25.013081  -999.00
 2901.0 12 48 21.00   77.72  -75.77  -83.24   34.00   -0.51    0.83    0.98  148.28    6.18 18014.40  121.786827   25.013124  -999.00
 2905.0 12 48 25.00   77.38  -75.73  -83.20   34.00   -1.82   -0.05    1.82   88.31    6.44 18040.23  121.786781   25.013140  -999.00
 2910.0 12 48 30.00   76.93  -75.70  -83.17   34.00   -2.63   -0.88    2.77   71.44    6.59 18073.50  121.786674   25.013119  -999.00
 2914.0 12 48 34.00   76.58  -75.70  -83.17   34.00   -2.78   -1.08    2.98   68.82    6.54 18099.84  121.786568   25.013083  -999.00
 2918.0 12 48 38.00   76.24  -75.69  -83.17   34.00   -2.83   -0.89    2.97   72.56    6.49 18125.43  121.786453   25.013046  -999.00
 2923.0 12 48 43.00   75.82  -75.68  -83.15   34.00   -3.25   -0.22    3.25   86.15    6.55 18157.48  121.786308   25.013021  -999.00
 2927.0 12 48 47.00   75.48  -75.67  -83.14   34.00   -4.02    0.57    4.06   98.03    6.63 18183.95  121.786163   25.013029  -999.00
 2931.0 12 48 51.00   75.12  -75.67  -83.14   34.00   -4.91    1.47    5.12  106.63    6.69 18210.92  121.785980   25.013065  -999.00
 2936.0 12 48 56.00   74.69  -75.71  -83.18   34.00   -5.67    2.58    6.23  114.50    6.65 18244.55  121.785721   25.013157  -999.00
 2940.0 12 49  0.00   74.35  -75.77  -83.23   34.00 -999.00 -999.00 -999.00 -999.00    6.56 18270.67 -999.000000 -999.000000  -999.00
 2945.0 12 49  5.00   73.94  -75.83  -83.29   34.00 -999.00 -999.00 -999.00 -999.00    6.40 18303.01 -999.000000 -999.000000  -999.00
 2949.0 12 49  9.00   73.60  -75.87  -83.33   34.00   -5.05    4.48    6.75  131.55    6.20 18329.00  121.785034   25.013571  -999.00
 2953.0 12 49 13.00   73.29  -75.94  -83.39   34.00   -4.41    4.61    6.38  136.28    5.97 18353.69  121.784843   25.013735  -999.00
 2958.0 12 49 18.00   72.93  -76.05  -83.50   34.00   -3.09    4.53    5.48  145.73    5.96 18382.36  121.784660   25.013941  -999.00
 2962.0 12 49 22.00   72.64  -76.11  -83.55   34.00   -1.43    4.32    4.55  161.73    6.19 18405.54  121.784569   25.014101  -999.00
 2966.0 12 49 26.00   72.32  -76.09  -83.53   34.00    0.52    4.03    4.06  187.41    6.57 18430.70  121.784554   25.014252  -999.00
 2971.0 12 49 31.00   71.88  -75.93  -83.39   34.00    2.43    3.56    4.31  214.32    6.82 18466.12  121.784622   25.014423  -999.00
 2975.0 12 49 35.00   71.53  -75.79  -83.26   34.00 -999.00 -999.00 -999.00 -999.00    6.64 18494.22 -999.000000 -999.000000  -999.00
 2979.0 12 49 39.00   71.22  -75.71  -83.18   34.00    2.15    2.70    3.45  218.56    6.41 18519.54  121.784805   25.014648  -999.00
 2984.0 12 49 44.00   70.84  -75.68  -83.16   34.00    0.68    2.24    2.34  196.92    6.19 18550.23  121.784874   25.014759  -999.00
 2988.0 12 49 48.00   70.53  -75.65  -83.13   34.00 -999.00 -999.00 -999.00 -999.00    6.18 18575.21 -999.000000 -999.000000  -999.00
 2992.0 12 49 52.00   70.23  -75.54  -83.02   34.00 -999.00 -999.00 -999.00 -999.00    6.35 18599.98 -999.000000 -999.000000  -999.00
 2997.0 12 49 57.00   69.85  -75.31  -82.81   34.00   -1.71    2.18    2.77  141.84    6.79 18631.86  121.784813   25.015020  -999.00
 3001.0 12 50  1.00   69.51  -75.15  -82.66   34.00   -1.85    2.63    3.21  144.92    7.11 18659.60  121.784737   25.015106  -999.00
 3006.0 12 50  6.00   69.07  -75.01  -82.53   34.00 -999.00 -999.00 -999.00 -999.00    7.25 18696.85 -999.000000 -999.000000  -999.00
 3010.0 12 50 10.00   68.71  -74.93  -82.46   34.00   -1.54    3.71    4.01  157.40    6.93 18726.79  121.784592   25.015364  -999.00
 3014.0 12 50 14.00   68.40  -74.88  -82.41   34.00   -1.35    3.77    4.00  160.33    6.40 18753.49  121.784531   25.015499  -999.00
 3019.0 12 50 19.00   68.05  -74.82  -82.35   34.00 -999.00 -999.00 -999.00 -999.00    6.03 18782.77 -999.000000 -999.000000  -999.00
 3023.0 12 50 23.00   67.78  -74.78  -82.32   34.00   -1.01    2.77    2.95  159.92    6.03 18806.05  121.784424   25.015764  -999.00
 3027.0 12 50 27.00   67.49  -74.75  -82.29   34.00   -0.93    1.96    2.17  154.63    6.31 18830.60  121.784386   25.015850  -999.00
 3032.0 12 50 32.00   67.11  -74.71  -82.25   34.00   -0.98    0.77    1.25  128.38    6.63 18863.56  121.784340   25.015911  -999.00
 3036.0 12 50 36.00   66.80  -74.64  -82.19   34.00   -1.22   -0.23    1.24   79.53    6.74 18890.76  121.784294   25.015921  -999.00
 3040.0 12 50 40.00   66.49  -74.55  -82.11   34.00 -999.00 -999.00 -999.00 -999.00    6.66 18917.86 -999.000000 -999.000000  -999.00
 3045.0 12 50 45.00   66.11  -74.46  -82.02   34.00 -999.00 -999.00 -999.00 -999.00    6.33 18950.73 -999.000000 -999.000000  -999.00
 3049.0 12 50 49.00   65.83  -74.42  -81.98   34.00 -999.00 -999.00 -999.00 -999.00    5.94 18975.33 -999.000000 -999.000000  -999.00
 3053.0 12 50 53.00   65.58  -74.42  -81.99   34.00 -999.00 -999.00 -999.00 -999.00    5.60 18997.85 -999.000000 -999.000000  -999.00
 3058.0 12 50 58.00   65.28  -74.46  -82.02   34.00   -4.34   -4.34    6.14   45.00    5.36 19024.85  121.783691   25.015469  -999.00
 3062.0 12 51  2.00   65.03  -74.46  -82.02   34.00   -4.56   -4.51    6.41   45.29    5.26 19046.51  121.783516   25.015308  -999.00
 3066.0 12 51  6.00   64.80  -74.40  -81.97   34.00 -999.00 -999.00 -999.00 -999.00    5.28 19067.54 -999.000000 -999.000000  -999.00
 3071.0 12 51 11.00   64.51  -74.24  -81.82   34.00 -999.00 -999.00 -999.00 -999.00    5.51 19093.63 -999.000000 -999.000000  -999.00
 3075.0 12 51 15.00   64.26  -74.06  -81.65   34.00   -3.09   -3.71    4.83   39.78    5.76 19116.19  121.783020   25.014826  -999.00
 3079.0 12 51 19.00   63.99  -73.89  -81.50   34.00   -1.85   -3.41    3.88   28.43    5.99 19140.26  121.782921   25.014696  -999.00
 3084.0 12 51 24.00   63.65  -73.76  -81.38   34.00   -0.23   -3.08    3.08    4.35    6.14 19171.26  121.782875   25.014549  -999.00
 3088.0 12 51 28.00   63.39  -73.69  -81.31   34.00 -999.00 -999.00 -999.00 -999.00    6.16 19195.59 -999.000000 -999.000000  -999.00
 3093.0 12 51 33.00   63.07  -73.54  -81.17   34.00 -999.00 -999.00 -999.00 -999.00    6.32 19225.49 -999.000000 -999.000000  -999.00
 3097.0 12 51 37.00   62.79  -73.27  -80.92   34.00    1.21   -2.13    2.45  330.28    6.41 19250.85  121.782936   25.014244  -999.00
 3101.0 12 51 41.00   62.51  -72.83  -80.52   34.00    1.02   -1.82    2.09  330.87    6.29 19276.93  121.782982   25.014174  -999.00
 3106.0 12 51 46.00   62.19  -72.13  -79.86   34.00 -999.00 -999.00 -999.00 -999.00    5.54 19307.70 -999.000000 -999.000000  -999.00
 3110.0 12 51 50.00   61.97  -71.58  -79.36   34.00 -999.00 -999.00 -999.00 -999.00    4.38 19328.76 -999.000000 -999.000000  -999.00
 3114.0 12 51 54.00   61.80  -71.16  -78.97   34.00    0.32   -1.25    1.30  345.62    3.08 19344.74  121.783066   25.013992  -999.00
 3119.0 12 51 59.00   61.69  -70.86  -78.69   34.00    0.35   -1.43    1.47  346.34    1.66 19354.75  121.783081   25.013931  -999.00
 3123.0 12 52  3.00   61.68  -70.78  -78.62   34.00 -999.00 -999.00 -999.00 -999.00    1.30 19356.03 -999.000000 -999.000000  -999.00
